Gene stable ID	Human gene stable ID	Human gene name	Gene name
ENSMUSG00000094722	ENSG00000239810	PRAMEF11	
ENSMUSG00000094722	ENSG00000280267	PRAMEF26	
ENSMUSG00000094722	ENSG00000204505	PRAMEF9	
ENSMUSG00000094722	ENSG00000279169	PRAMEF13	
ENSMUSG00000094722	ENSG00000270601	PRAMEF5	
ENSMUSG00000094722	ENSG00000243073	PRAMEF4	
ENSMUSG00000094722	ENSG00000229571	PRAMEF25	
ENSMUSG00000094722	ENSG00000204481	PRAMEF14	
ENSMUSG00000094722	ENSG00000182330	PRAMEF8	
ENSMUSG00000094722	ENSG00000204501	PRAMEF15	
ENSMUSG00000094722	ENSG00000274764	PRAMEF27	
ENSMUSG00000094722	ENSG00000204510	PRAMEF7	
ENSMUSG00000096776			Vmn1r186
ENSMUSG00000094741	ENSG00000204479	PRAMEF17	
ENSMUSG00000094741	ENSG00000116726	PRAMEF12	
ENSMUSG00000094741	ENSG00000116721	PRAMEF1	
ENSMUSG00000094741	ENSG00000204480	PRAMEF19	
ENSMUSG00000094741	ENSG00000204478	PRAMEF20	
ENSMUSG00000094741	ENSG00000232423	PRAMEF6	
ENSMUSG00000094741	ENSG00000279804	PRAMEF18	
ENSMUSG00000094741	ENSG00000187545	PRAMEF10	
ENSMUSG00000094741	ENSG00000120952	PRAMEF2	
ENSMUSG00000094741	ENSG00000237700	PRAMEF33	
ENSMUSG00000094741	ENSG00000239810	PRAMEF11	
ENSMUSG00000094741	ENSG00000280267	PRAMEF26	
ENSMUSG00000094741	ENSG00000204505	PRAMEF9	
ENSMUSG00000094741	ENSG00000279169	PRAMEF13	
ENSMUSG00000094741	ENSG00000270601	PRAMEF5	
ENSMUSG00000094741	ENSG00000243073	PRAMEF4	
ENSMUSG00000094741	ENSG00000229571	PRAMEF25	
ENSMUSG00000094741	ENSG00000204481	PRAMEF14	
ENSMUSG00000094741	ENSG00000182330	PRAMEF8	
ENSMUSG00000094741	ENSG00000204501	PRAMEF15	
ENSMUSG00000094741	ENSG00000274764	PRAMEF27	
ENSMUSG00000094741	ENSG00000204510	PRAMEF7	
ENSMUSG00002074899			
ENSMUSG00002074970			
ENSMUSG00002076890			
ENSMUSG00000095019			
ENSMUSG00000095666	ENSG00000204479	PRAMEF17	
ENSMUSG00000095666	ENSG00000116726	PRAMEF12	
ENSMUSG00000095666	ENSG00000116721	PRAMEF1	
ENSMUSG00000095666	ENSG00000204480	PRAMEF19	
ENSMUSG00000095666	ENSG00000204478	PRAMEF20	
ENSMUSG00000095666	ENSG00000232423	PRAMEF6	
ENSMUSG00000095666	ENSG00000279804	PRAMEF18	
ENSMUSG00000095666	ENSG00000187545	PRAMEF10	
ENSMUSG00000095666	ENSG00000120952	PRAMEF2	
ENSMUSG00000095666	ENSG00000237700	PRAMEF33	
ENSMUSG00000095666	ENSG00000239810	PRAMEF11	
ENSMUSG00000095666	ENSG00000280267	PRAMEF26	
ENSMUSG00000095666	ENSG00000204505	PRAMEF9	
ENSMUSG00000095666	ENSG00000279169	PRAMEF13	
ENSMUSG00000095666	ENSG00000270601	PRAMEF5	
ENSMUSG00000095666	ENSG00000243073	PRAMEF4	
ENSMUSG00000095666	ENSG00000229571	PRAMEF25	
ENSMUSG00000095666	ENSG00000204481	PRAMEF14	
ENSMUSG00000095666	ENSG00000182330	PRAMEF8	
ENSMUSG00000095666	ENSG00000204501	PRAMEF15	
ENSMUSG00000095666	ENSG00000274764	PRAMEF27	
ENSMUSG00000095666	ENSG00000204510	PRAMEF7	
ENSMUSG00000094303	ENSG00000204479	PRAMEF17	
ENSMUSG00000094303	ENSG00000116726	PRAMEF12	
ENSMUSG00000094303	ENSG00000116721	PRAMEF1	
ENSMUSG00000094303	ENSG00000204480	PRAMEF19	
ENSMUSG00000094303	ENSG00000204478	PRAMEF20	
ENSMUSG00000094303	ENSG00000232423	PRAMEF6	
ENSMUSG00000094303	ENSG00000279804	PRAMEF18	
ENSMUSG00000094303	ENSG00000187545	PRAMEF10	
ENSMUSG00000094303	ENSG00000120952	PRAMEF2	
ENSMUSG00000094303	ENSG00000237700	PRAMEF33	
ENSMUSG00000094303	ENSG00000239810	PRAMEF11	
ENSMUSG00000094303	ENSG00000280267	PRAMEF26	
ENSMUSG00000094303	ENSG00000204505	PRAMEF9	
ENSMUSG00000094303	ENSG00000279169	PRAMEF13	
ENSMUSG00000094303	ENSG00000270601	PRAMEF5	
ENSMUSG00000094303	ENSG00000243073	PRAMEF4	
ENSMUSG00000094303	ENSG00000229571	PRAMEF25	
ENSMUSG00000094303	ENSG00000204481	PRAMEF14	
ENSMUSG00000094303	ENSG00000182330	PRAMEF8	
ENSMUSG00000094303	ENSG00000204501	PRAMEF15	
ENSMUSG00000094303	ENSG00000274764	PRAMEF27	
ENSMUSG00000094303	ENSG00000204510	PRAMEF7	
ENSMUSG00000094915	ENSG00000067066	SP100	
ENSMUSG00000095041	ENSG00000241878	PISD	
ENSMUSG00000095250	ENSG00000135899	SP110	
ENSMUSG00000079800			
ENSMUSG00000079222			
ENSMUSG00000094836	ENSG00000204479	PRAMEF17	
ENSMUSG00000094836	ENSG00000116726	PRAMEF12	
ENSMUSG00000094836	ENSG00000116721	PRAMEF1	
ENSMUSG00000094836	ENSG00000204480	PRAMEF19	
ENSMUSG00000094836	ENSG00000204478	PRAMEF20	
ENSMUSG00000094836	ENSG00000232423	PRAMEF6	
ENSMUSG00000094836	ENSG00000279804	PRAMEF18	
ENSMUSG00000094836	ENSG00000187545	PRAMEF10	
ENSMUSG00000094836	ENSG00000120952	PRAMEF2	
ENSMUSG00000094836	ENSG00000237700	PRAMEF33	
ENSMUSG00000094836	ENSG00000239810	PRAMEF11	
ENSMUSG00000094836	ENSG00000280267	PRAMEF26	
ENSMUSG00000094836	ENSG00000204505	PRAMEF9	
ENSMUSG00000094836	ENSG00000279169	PRAMEF13	
ENSMUSG00000094836	ENSG00000270601	PRAMEF5	
ENSMUSG00000094836	ENSG00000243073	PRAMEF4	
ENSMUSG00000094836	ENSG00000229571	PRAMEF25	
ENSMUSG00000094836	ENSG00000204481	PRAMEF14	
ENSMUSG00000094836	ENSG00000182330	PRAMEF8	
ENSMUSG00000094836	ENSG00000204501	PRAMEF15	
ENSMUSG00000094836	ENSG00000274764	PRAMEF27	
ENSMUSG00000094836	ENSG00000204510	PRAMEF7	
ENSMUSG00002075729			
ENSMUSG00000096244			
ENSMUSG00000079808	ENSG00000135899	SP110	
ENSMUSG00000095787			
ENSMUSG00000074720	ENSG00000204479	PRAMEF17	
ENSMUSG00000074720	ENSG00000116726	PRAMEF12	
ENSMUSG00000074720	ENSG00000116721	PRAMEF1	
ENSMUSG00000074720	ENSG00000204480	PRAMEF19	
ENSMUSG00000074720	ENSG00000204478	PRAMEF20	
ENSMUSG00000074720	ENSG00000232423	PRAMEF6	
ENSMUSG00000074720	ENSG00000279804	PRAMEF18	
ENSMUSG00000074720	ENSG00000187545	PRAMEF10	
ENSMUSG00000074720	ENSG00000120952	PRAMEF2	
ENSMUSG00000074720	ENSG00000237700	PRAMEF33	
ENSMUSG00000074720	ENSG00000239810	PRAMEF11	
ENSMUSG00000074720	ENSG00000280267	PRAMEF26	
ENSMUSG00000074720	ENSG00000204505	PRAMEF9	
ENSMUSG00000074720	ENSG00000279169	PRAMEF13	
ENSMUSG00000074720	ENSG00000270601	PRAMEF5	
ENSMUSG00000074720	ENSG00000243073	PRAMEF4	
ENSMUSG00000074720	ENSG00000229571	PRAMEF25	
ENSMUSG00000074720	ENSG00000204481	PRAMEF14	
ENSMUSG00000074720	ENSG00000182330	PRAMEF8	
ENSMUSG00000074720	ENSG00000204501	PRAMEF15	
ENSMUSG00000074720	ENSG00000274764	PRAMEF27	
ENSMUSG00000074720	ENSG00000204510	PRAMEF7	
ENSMUSG00000096236	ENSG00000204479	PRAMEF17	
ENSMUSG00000096236	ENSG00000116726	PRAMEF12	
ENSMUSG00000096236	ENSG00000116721	PRAMEF1	
ENSMUSG00000096236	ENSG00000204480	PRAMEF19	
ENSMUSG00000096236	ENSG00000204478	PRAMEF20	
ENSMUSG00000096236	ENSG00000232423	PRAMEF6	
ENSMUSG00000096236	ENSG00000279804	PRAMEF18	
ENSMUSG00000096236	ENSG00000187545	PRAMEF10	
ENSMUSG00000096236	ENSG00000120952	PRAMEF2	
ENSMUSG00000096236	ENSG00000237700	PRAMEF33	
ENSMUSG00000096236	ENSG00000239810	PRAMEF11	
ENSMUSG00000096236	ENSG00000280267	PRAMEF26	
ENSMUSG00000096236	ENSG00000204505	PRAMEF9	
ENSMUSG00000096236	ENSG00000279169	PRAMEF13	
ENSMUSG00000096236	ENSG00000270601	PRAMEF5	
ENSMUSG00000096236	ENSG00000243073	PRAMEF4	
ENSMUSG00000096236	ENSG00000229571	PRAMEF25	
ENSMUSG00000096236	ENSG00000204481	PRAMEF14	
ENSMUSG00000096236	ENSG00000182330	PRAMEF8	
ENSMUSG00000096236	ENSG00000204501	PRAMEF15	
ENSMUSG00000096236	ENSG00000274764	PRAMEF27	
ENSMUSG00000096236	ENSG00000204510	PRAMEF7	
ENSMUSG00000095092	ENSG00000135899	SP110	
ENSMUSG00000094383	ENSG00000204479	PRAMEF17	
ENSMUSG00000094383	ENSG00000116726	PRAMEF12	
ENSMUSG00000094383	ENSG00000116721	PRAMEF1	
ENSMUSG00000094383	ENSG00000204480	PRAMEF19	
ENSMUSG00000094383	ENSG00000204478	PRAMEF20	
ENSMUSG00000094383	ENSG00000232423	PRAMEF6	
ENSMUSG00000094383	ENSG00000279804	PRAMEF18	
ENSMUSG00000094383	ENSG00000187545	PRAMEF10	
ENSMUSG00000094383	ENSG00000120952	PRAMEF2	
ENSMUSG00000094383	ENSG00000237700	PRAMEF33	
ENSMUSG00000094383	ENSG00000239810	PRAMEF11	
ENSMUSG00000094383	ENSG00000280267	PRAMEF26	
ENSMUSG00000094383	ENSG00000204505	PRAMEF9	
ENSMUSG00000094383	ENSG00000279169	PRAMEF13	
ENSMUSG00000094383	ENSG00000270601	PRAMEF5	
ENSMUSG00000094383	ENSG00000243073	PRAMEF4	
ENSMUSG00000094383	ENSG00000229571	PRAMEF25	
ENSMUSG00000094383	ENSG00000204481	PRAMEF14	
ENSMUSG00000094383	ENSG00000182330	PRAMEF8	
ENSMUSG00000094383	ENSG00000204501	PRAMEF15	
ENSMUSG00000094383	ENSG00000274764	PRAMEF27	
ENSMUSG00000094383	ENSG00000204510	PRAMEF7	
ENSMUSG00000094874	ENSG00000135899	SP110	
ENSMUSG00000096680	ENSG00000204479	PRAMEF17	
ENSMUSG00000096680	ENSG00000116726	PRAMEF12	
ENSMUSG00000096680	ENSG00000116721	PRAMEF1	
ENSMUSG00000096680	ENSG00000204480	PRAMEF19	
ENSMUSG00000096680	ENSG00000204478	PRAMEF20	
ENSMUSG00000096680	ENSG00000232423	PRAMEF6	
ENSMUSG00000096680	ENSG00000279804	PRAMEF18	
ENSMUSG00000096680	ENSG00000187545	PRAMEF10	
ENSMUSG00000096680	ENSG00000120952	PRAMEF2	
ENSMUSG00000096680	ENSG00000237700	PRAMEF33	
ENSMUSG00000096680	ENSG00000239810	PRAMEF11	
ENSMUSG00000096680	ENSG00000280267	PRAMEF26	
ENSMUSG00000096680	ENSG00000204505	PRAMEF9	
ENSMUSG00000096680	ENSG00000279169	PRAMEF13	
ENSMUSG00000096680	ENSG00000270601	PRAMEF5	
ENSMUSG00000096680	ENSG00000243073	PRAMEF4	
ENSMUSG00000096680	ENSG00000229571	PRAMEF25	
ENSMUSG00000096680	ENSG00000204481	PRAMEF14	
ENSMUSG00000096680	ENSG00000182330	PRAMEF8	
ENSMUSG00000096680	ENSG00000204501	PRAMEF15	
ENSMUSG00000096680	ENSG00000274764	PRAMEF27	
ENSMUSG00000096680	ENSG00000204510	PRAMEF7	
ENSMUSG00000096100			
ENSMUSG00000094337	ENSG00000204479	PRAMEF17	
ENSMUSG00000094337	ENSG00000116726	PRAMEF12	
ENSMUSG00000094337	ENSG00000116721	PRAMEF1	
ENSMUSG00000094337	ENSG00000204480	PRAMEF19	
ENSMUSG00000094337	ENSG00000204478	PRAMEF20	
ENSMUSG00000094337	ENSG00000232423	PRAMEF6	
ENSMUSG00000094337	ENSG00000279804	PRAMEF18	
ENSMUSG00000094337	ENSG00000187545	PRAMEF10	
ENSMUSG00000094337	ENSG00000120952	PRAMEF2	
ENSMUSG00000094337	ENSG00000237700	PRAMEF33	
ENSMUSG00000094337	ENSG00000239810	PRAMEF11	
ENSMUSG00000094337	ENSG00000280267	PRAMEF26	
ENSMUSG00000094337	ENSG00000204505	PRAMEF9	
ENSMUSG00000094337	ENSG00000279169	PRAMEF13	
ENSMUSG00000094337	ENSG00000270601	PRAMEF5	
ENSMUSG00000094337	ENSG00000243073	PRAMEF4	
ENSMUSG00000094337	ENSG00000229571	PRAMEF25	
ENSMUSG00000094337	ENSG00000204481	PRAMEF14	
ENSMUSG00000094337	ENSG00000182330	PRAMEF8	
ENSMUSG00000094337	ENSG00000204501	PRAMEF15	
ENSMUSG00000094337	ENSG00000274764	PRAMEF27	
ENSMUSG00000094337	ENSG00000204510	PRAMEF7	
ENSMUSG00000079192			
ENSMUSG00000094054			
ENSMUSG00000096756	ENSG00000204479	PRAMEF17	
ENSMUSG00000096756	ENSG00000116726	PRAMEF12	
ENSMUSG00000096756	ENSG00000116721	PRAMEF1	
ENSMUSG00000096756	ENSG00000204480	PRAMEF19	
ENSMUSG00000096756	ENSG00000204478	PRAMEF20	
ENSMUSG00000096756	ENSG00000232423	PRAMEF6	
ENSMUSG00000096756	ENSG00000279804	PRAMEF18	
ENSMUSG00000096756	ENSG00000187545	PRAMEF10	
ENSMUSG00000096756	ENSG00000120952	PRAMEF2	
ENSMUSG00000096756	ENSG00000237700	PRAMEF33	
ENSMUSG00000096756	ENSG00000239810	PRAMEF11	
ENSMUSG00000096756	ENSG00000280267	PRAMEF26	
ENSMUSG00000096756	ENSG00000204505	PRAMEF9	
ENSMUSG00000096756	ENSG00000279169	PRAMEF13	
ENSMUSG00000096756	ENSG00000270601	PRAMEF5	
ENSMUSG00000096756	ENSG00000243073	PRAMEF4	
ENSMUSG00000096756	ENSG00000229571	PRAMEF25	
ENSMUSG00000096756	ENSG00000204481	PRAMEF14	
ENSMUSG00000096756	ENSG00000182330	PRAMEF8	
ENSMUSG00000096756	ENSG00000204501	PRAMEF15	
ENSMUSG00000096756	ENSG00000274764	PRAMEF27	
ENSMUSG00000096756	ENSG00000204510	PRAMEF7	
ENSMUSG00000095500			
ENSMUSG00000095672	ENSG00000135899	SP110	
ENSMUSG00000095505	ENSG00000204479	PRAMEF17	
ENSMUSG00000095505	ENSG00000116726	PRAMEF12	
ENSMUSG00000095505	ENSG00000116721	PRAMEF1	
ENSMUSG00000095505	ENSG00000204480	PRAMEF19	
ENSMUSG00000095505	ENSG00000204478	PRAMEF20	
ENSMUSG00000095505	ENSG00000232423	PRAMEF6	
ENSMUSG00000095505	ENSG00000279804	PRAMEF18	
ENSMUSG00000095505	ENSG00000187545	PRAMEF10	
ENSMUSG00000095505	ENSG00000120952	PRAMEF2	
ENSMUSG00000095505	ENSG00000237700	PRAMEF33	
ENSMUSG00000095505	ENSG00000239810	PRAMEF11	
ENSMUSG00000095505	ENSG00000280267	PRAMEF26	
ENSMUSG00000095505	ENSG00000204505	PRAMEF9	
ENSMUSG00000095505	ENSG00000279169	PRAMEF13	
ENSMUSG00000095505	ENSG00000270601	PRAMEF5	
ENSMUSG00000095505	ENSG00000243073	PRAMEF4	
ENSMUSG00000095505	ENSG00000229571	PRAMEF25	
ENSMUSG00000095505	ENSG00000204481	PRAMEF14	
ENSMUSG00000095505	ENSG00000182330	PRAMEF8	
ENSMUSG00000095505	ENSG00000204501	PRAMEF15	
ENSMUSG00000095505	ENSG00000274764	PRAMEF27	
ENSMUSG00000095505	ENSG00000204510	PRAMEF7	
ENSMUSG00000079794			
ENSMUSG00000079190			
ENSMUSG00000095450			
ENSMUSG00000094474	ENSG00000204479	PRAMEF17	
ENSMUSG00000094474	ENSG00000116726	PRAMEF12	
ENSMUSG00000094474	ENSG00000116721	PRAMEF1	
ENSMUSG00000094474	ENSG00000204480	PRAMEF19	
ENSMUSG00000094474	ENSG00000204478	PRAMEF20	
ENSMUSG00000094474	ENSG00000232423	PRAMEF6	
ENSMUSG00000094474	ENSG00000279804	PRAMEF18	
ENSMUSG00000094474	ENSG00000187545	PRAMEF10	
ENSMUSG00000094474	ENSG00000120952	PRAMEF2	
ENSMUSG00000094474	ENSG00000237700	PRAMEF33	
ENSMUSG00000094474	ENSG00000239810	PRAMEF11	
ENSMUSG00000094474	ENSG00000280267	PRAMEF26	
ENSMUSG00000094474	ENSG00000204505	PRAMEF9	
ENSMUSG00000094474	ENSG00000279169	PRAMEF13	
ENSMUSG00000094474	ENSG00000270601	PRAMEF5	
ENSMUSG00000094474	ENSG00000243073	PRAMEF4	
ENSMUSG00000094474	ENSG00000229571	PRAMEF25	
ENSMUSG00000094474	ENSG00000204481	PRAMEF14	
ENSMUSG00000094474	ENSG00000182330	PRAMEF8	
ENSMUSG00000094474	ENSG00000204501	PRAMEF15	
ENSMUSG00000094474	ENSG00000274764	PRAMEF27	
ENSMUSG00000094474	ENSG00000204510	PRAMEF7	
ENSMUSG00000144201			
ENSMUSG00000094799	ENSG00000135899	SP110	
ENSMUSG00000094728			
ENSMUSG00000095570	ENSG00000204479	PRAMEF17	
ENSMUSG00000095570	ENSG00000116726	PRAMEF12	
ENSMUSG00000095570	ENSG00000116721	PRAMEF1	
ENSMUSG00000095570	ENSG00000204480	PRAMEF19	
ENSMUSG00000095570	ENSG00000204478	PRAMEF20	
ENSMUSG00000095570	ENSG00000232423	PRAMEF6	
ENSMUSG00000095570	ENSG00000279804	PRAMEF18	
ENSMUSG00000095570	ENSG00000187545	PRAMEF10	
ENSMUSG00000095570	ENSG00000120952	PRAMEF2	
ENSMUSG00000095570	ENSG00000237700	PRAMEF33	
ENSMUSG00000095570	ENSG00000239810	PRAMEF11	
ENSMUSG00000095570	ENSG00000280267	PRAMEF26	
ENSMUSG00000095570	ENSG00000204505	PRAMEF9	
ENSMUSG00000095570	ENSG00000279169	PRAMEF13	
ENSMUSG00000095570	ENSG00000270601	PRAMEF5	
ENSMUSG00000095570	ENSG00000243073	PRAMEF4	
ENSMUSG00000095570	ENSG00000229571	PRAMEF25	
ENSMUSG00000095570	ENSG00000204481	PRAMEF14	
ENSMUSG00000095570	ENSG00000182330	PRAMEF8	
ENSMUSG00000095570	ENSG00000204501	PRAMEF15	
ENSMUSG00000095570	ENSG00000274764	PRAMEF27	
ENSMUSG00000095570	ENSG00000204510	PRAMEF7	
ENSMUSG00000062783			Csprs
ENSMUSG00000144196			
ENSMUSG00000094791	ENSG00000204479	PRAMEF17	
ENSMUSG00000094791	ENSG00000116726	PRAMEF12	
ENSMUSG00000094791	ENSG00000116721	PRAMEF1	
ENSMUSG00000094791	ENSG00000204480	PRAMEF19	
ENSMUSG00000094791	ENSG00000204478	PRAMEF20	
ENSMUSG00000094791	ENSG00000232423	PRAMEF6	
ENSMUSG00000094791	ENSG00000279804	PRAMEF18	
ENSMUSG00000094791	ENSG00000187545	PRAMEF10	
ENSMUSG00000094791	ENSG00000120952	PRAMEF2	
ENSMUSG00000094791	ENSG00000237700	PRAMEF33	
ENSMUSG00000094791	ENSG00000239810	PRAMEF11	
ENSMUSG00000094791	ENSG00000280267	PRAMEF26	
ENSMUSG00000094791	ENSG00000204505	PRAMEF9	
ENSMUSG00000094791	ENSG00000279169	PRAMEF13	
ENSMUSG00000094791	ENSG00000270601	PRAMEF5	
ENSMUSG00000094791	ENSG00000243073	PRAMEF4	
ENSMUSG00000094791	ENSG00000229571	PRAMEF25	
ENSMUSG00000094791	ENSG00000204481	PRAMEF14	
ENSMUSG00000094791	ENSG00000182330	PRAMEF8	
ENSMUSG00000094791	ENSG00000204501	PRAMEF15	
ENSMUSG00000094791	ENSG00000274764	PRAMEF27	
ENSMUSG00000094791	ENSG00000204510	PRAMEF7	
ENSMUSG00000094514	ENSG00000067066	SP100	
ENSMUSG00000096728	ENSG00000204479	PRAMEF17	
ENSMUSG00000096728	ENSG00000116726	PRAMEF12	
ENSMUSG00000096728	ENSG00000116721	PRAMEF1	
ENSMUSG00000096728	ENSG00000204480	PRAMEF19	
ENSMUSG00000096728	ENSG00000204478	PRAMEF20	
ENSMUSG00000096728	ENSG00000232423	PRAMEF6	
ENSMUSG00000096728	ENSG00000279804	PRAMEF18	
ENSMUSG00000096728	ENSG00000187545	PRAMEF10	
ENSMUSG00000096728	ENSG00000120952	PRAMEF2	
ENSMUSG00000096728	ENSG00000237700	PRAMEF33	
ENSMUSG00000096728	ENSG00000239810	PRAMEF11	
ENSMUSG00000096728	ENSG00000280267	PRAMEF26	
ENSMUSG00000096728	ENSG00000204505	PRAMEF9	
ENSMUSG00000096728	ENSG00000279169	PRAMEF13	
ENSMUSG00000096728	ENSG00000270601	PRAMEF5	
ENSMUSG00000096728	ENSG00000243073	PRAMEF4	
ENSMUSG00000096728	ENSG00000229571	PRAMEF25	
ENSMUSG00000096728	ENSG00000204481	PRAMEF14	
ENSMUSG00000096728	ENSG00000182330	PRAMEF8	
ENSMUSG00000096728	ENSG00000204501	PRAMEF15	
ENSMUSG00000096728	ENSG00000274764	PRAMEF27	
ENSMUSG00000096728	ENSG00000204510	PRAMEF7	
ENSMUSG00000096808			
ENSMUSG00000096550	ENSG00000204479	PRAMEF17	Gm16367
ENSMUSG00000096550	ENSG00000116726	PRAMEF12	Gm16367
ENSMUSG00000096550	ENSG00000116721	PRAMEF1	Gm16367
ENSMUSG00000096550	ENSG00000204480	PRAMEF19	Gm16367
ENSMUSG00000096550	ENSG00000204478	PRAMEF20	Gm16367
ENSMUSG00000096550	ENSG00000232423	PRAMEF6	Gm16367
ENSMUSG00000096550	ENSG00000279804	PRAMEF18	Gm16367
ENSMUSG00000096550	ENSG00000187545	PRAMEF10	Gm16367
ENSMUSG00000096550	ENSG00000120952	PRAMEF2	Gm16367
ENSMUSG00000096550	ENSG00000237700	PRAMEF33	Gm16367
ENSMUSG00000096550	ENSG00000239810	PRAMEF11	Gm16367
ENSMUSG00000096550	ENSG00000280267	PRAMEF26	Gm16367
ENSMUSG00000096550	ENSG00000204505	PRAMEF9	Gm16367
ENSMUSG00000096550	ENSG00000279169	PRAMEF13	Gm16367
ENSMUSG00000096550	ENSG00000270601	PRAMEF5	Gm16367
ENSMUSG00000096550	ENSG00000243073	PRAMEF4	Gm16367
ENSMUSG00000096550	ENSG00000229571	PRAMEF25	Gm16367
ENSMUSG00000096550	ENSG00000204481	PRAMEF14	Gm16367
ENSMUSG00000096550	ENSG00000182330	PRAMEF8	Gm16367
ENSMUSG00000096550	ENSG00000204501	PRAMEF15	Gm16367
ENSMUSG00000096550	ENSG00000274764	PRAMEF27	Gm16367
ENSMUSG00000096550	ENSG00000204510	PRAMEF7	Gm16367
ENSMUSG00000144204			
ENSMUSG00000144203			
ENSMUSG00000144199			
ENSMUSG00000094172	ENSG00000204479	PRAMEF17	
ENSMUSG00000094172	ENSG00000116726	PRAMEF12	
ENSMUSG00000094172	ENSG00000116721	PRAMEF1	
ENSMUSG00000094172	ENSG00000204480	PRAMEF19	
ENSMUSG00000094172	ENSG00000204478	PRAMEF20	
ENSMUSG00000094172	ENSG00000232423	PRAMEF6	
ENSMUSG00000094172	ENSG00000279804	PRAMEF18	
ENSMUSG00000094172	ENSG00000187545	PRAMEF10	
ENSMUSG00000094172	ENSG00000120952	PRAMEF2	
ENSMUSG00000094172	ENSG00000237700	PRAMEF33	
ENSMUSG00000094172	ENSG00000239810	PRAMEF11	
ENSMUSG00000094172	ENSG00000280267	PRAMEF26	
ENSMUSG00000094172	ENSG00000204505	PRAMEF9	
ENSMUSG00000094172	ENSG00000279169	PRAMEF13	
ENSMUSG00000094172	ENSG00000270601	PRAMEF5	
ENSMUSG00000094172	ENSG00000243073	PRAMEF4	
ENSMUSG00000094172	ENSG00000229571	PRAMEF25	
ENSMUSG00000094172	ENSG00000204481	PRAMEF14	
ENSMUSG00000094172	ENSG00000182330	PRAMEF8	
ENSMUSG00000094172	ENSG00000204501	PRAMEF15	
ENSMUSG00000094172	ENSG00000274764	PRAMEF27	
ENSMUSG00000094172	ENSG00000204510	PRAMEF7	
ENSMUSG00000094887	ENSG00000204479	PRAMEF17	
ENSMUSG00000094887	ENSG00000116726	PRAMEF12	
ENSMUSG00000094887	ENSG00000116721	PRAMEF1	
ENSMUSG00000094887	ENSG00000204480	PRAMEF19	
ENSMUSG00000094887	ENSG00000204478	PRAMEF20	
ENSMUSG00000094887	ENSG00000232423	PRAMEF6	
ENSMUSG00000094887	ENSG00000279804	PRAMEF18	
ENSMUSG00000094887	ENSG00000187545	PRAMEF10	
ENSMUSG00000094887	ENSG00000120952	PRAMEF2	
ENSMUSG00000094887	ENSG00000237700	PRAMEF33	
ENSMUSG00000094887	ENSG00000239810	PRAMEF11	
ENSMUSG00000094887	ENSG00000280267	PRAMEF26	
ENSMUSG00000094887	ENSG00000204505	PRAMEF9	
ENSMUSG00000094887	ENSG00000279169	PRAMEF13	
